Date,Close,Open,High,Low,Volume,Change
2008年7月,"8,740.74","9,352.32","9,567.26","8,512.32",-,-6.54%
2008年8月,"8,757.04","8,740.74","9,001.21","7,810.54",-,0.19%
2008年9月,"7,458.50","8,757.04","8,780.02","6,885.52",261.26M,-14.83%
2008年10月,"5,537.82","7,458.50","7,458.50","5,218.13",4.41B,-25.75%
2008年11月,"4,738.14","5,537.82","6,224.53","4,223.70",5.92B,-14.44%
2008年12月,"4,802.99","4,738.14","4,960.55","4,441.45",3.79B,1.37%
2009年1月,"4,808.90","4,802.99","5,344.31","4,351.66",5.58B,0.12%
2009年2月,"4,384.59","4,808.90","4,975.40","4,327.48",4.68B,-8.82%
2009年3月,"4,703.75","4,384.59","4,785.53","4,068.08",3.89B,7.28%
2009年4月,"5,625.51","4,703.75","5,625.71","4,693.88",5.52B,19.60%
2009年5月,"5,893.34","5,625.51","6,139.90","5,563.26",7.61B,4.76%
2009年6月,"5,596.46","5,893.34","6,137.95","5,417.54",5.31B,-5.04%
2009年7月,"5,778.14","5,596.46","5,878.79","5,374.18",3.11B,3.25%
2009年8月,"5,660.89","5,778.14","5,918.87","5,613.57",2.01B,-2.03%
2009年9月,"6,322.04","5,660.90","6,337.17","5,530.79",1.77B,11.68%
2009年10月,"6,268.55","6,322.04","6,578.79","6,237.93",4.34B,-0.85%
2009年11月,"6,355.82","6,268.55","6,381.60","6,196.67",2.67B,1.39%
2009年12月,"6,121.76","6,355.82","6,355.82","5,926.47",1.98B,-3.68%
2010年1月,"6,252.55","6,121.76","6,424.68","6,110.43",2.96B,2.14%
2010年2月,"6,437.50","6,252.55","6,496.29","6,165.60",2.04B,2.96%
2010年3月,"6,801.01","6,437.50","6,824.74","6,412.30",2.64B,5.65%
2010年4月,"6,867.97","6,801.01","6,931.45","6,675.67",3.24B,0.98%
2010年5月,"6,120.52","6,867.97","6,939.33","5,750.39",3.94B,-10.88%
2010年6月,"6,093.76","6,120.52","6,462.71","5,817.45",3.11B,-0.44%
2010年7月,"6,283.73","6,093.76","6,303.26","5,940.30",2.00B,3.12%
2010年8月,"6,106.42","6,283.73","6,373.91","5,968.26",1.54B,-2.82%
2010年9月,"6,392.39","6,106.42","6,504.72","6,105.82",1.23B,4.68%
2010年10月,"6,353.88","6,392.39","6,445.06","6,206.38",2.22B,-0.60%
2010年11月,"6,318.50","6,353.88","6,467.99","6,250.42",1.71B,-0.56%
2010年12月,"6,620.75","6,318.50","6,639.27","6,315.74",2.53B,4.78%
2011年1月,"6,358.03","6,620.75","6,795.29","6,222.21",3.26B,-3.97%
2011年2月,"5,941.63","6,358.03","6,669.43","5,835.70",2.80B,-6.55%
2011年3月,"6,562.85","5,941.63","6,564.80","5,231.51",5.08B,10.46%
2011年4月,"6,710.56","6,562.85","6,760.47","6,478.13",4.60B,2.25%
2011年5月,"6,735.98","6,710.56","6,786.03","6,555.73",5.75B,0.38%
2011年6月,"6,576.00","6,735.98","6,767.30","6,360.66",3.38B,-2.38%
2011年7月,"6,392.13","6,576.00","6,662.04","6,322.99",2.22B,-2.80%
2011年8月,"5,979.30","6,392.13","6,471.82","5,795.44",1.93B,-6.46%
2011年9月,"6,112.37","5,979.30","6,181.21","5,978.03",2.58B,2.23%
2011年10月,"6,224.30","6,112.37","6,239.76","5,945.76",4.17B,1.83%
2011年11月,"6,104.56","6,224.30","6,274.36","6,038.47",3.11B,-1.92%
2011年12月,"6,417.73","6,104.56","6,439.57","6,104.56",4.69B,5.13%
2012年1月,"6,626.04","6,417.73","6,628.09","6,315.27",6.93B,3.25%
2012年2月,"7,271.82","6,626.04","7,290.38","6,618.38",8.18B,9.75%
2012年3月,"7,835.15","7,271.82","7,852.85","7,265.31",14.12B,7.75%
2012年4月,"7,558.47","7,835.15","7,944.36","7,209.36",11.99B,-3.53%
2012年5月,"6,975.27","7,558.47","7,586.50","6,928.04",7.14B,-7.72%
2012年6月,"6,709.91","6,975.27","6,975.27","6,543.62",5.88B,-3.80%
2012年7月,"6,878.19","6,709.91","6,907.18","6,555.92",5.91B,2.51%
2012年8月,"7,139.01","6,878.19","7,157.84","6,849.17",3.77B,3.79%
2012年9月,"6,839.83","7,139.01","7,179.49","6,785.70",4.33B,-4.19%
2012年10月,"6,791.04","6,839.83","6,929.53","6,635.43",2.74B,-0.71%
2012年11月,"6,533.14","6,791.04","6,961.02","6,423.60",3.12B,-3.80%
2012年12月,"6,801.22","6,533.14","6,904.73","6,531.89",3.90B,4.10%
2013年1月,"7,043.55","6,801.22","7,176.45","6,801.22",4.13B,3.56%
2013年2月,"6,998.33","7,043.55","7,094.37","6,955.33",3.44B,-0.64%
2013年3月,"7,125.73","6,998.33","7,190.40","6,927.23",3.25B,1.82%
2013年4月,"7,179.80","7,125.73","7,248.18","7,028.39",4.55B,0.76%
2013年5月,"7,404.12","7,179.80","7,419.94","7,085.31",4.28B,3.12%
2013年6月,"7,496.57","7,404.12","7,683.13","7,245.08",5.46B,1.25%
