Date,Close,Open,High,Low,Volume,Change
1991年6月,"2,906.75","3,023.03","3,057.47","2,879.25",20.16M,-3.99%
1991年7月,"3,024.82","2,925.54","3,039.58","2,897.36",17.46M,4.06%
1991年8月,"3,043.60","3,022.80","3,068.65","2,836.31",19.79M,0.62%
1991年9月,"3,016.77","3,042.04","3,066.64","2,963.10",19.42M,-0.88%
1991年10月,"3,069.10","3,026.16","3,091.01","2,925.54",20.40M,1.73%
1991年11月,"2,894.68","3,075.36","3,091.91","2,861.14",19.67M,-5.68%
1991年12月,"3,168.83","2,866.28","3,204.61","2,832.29",22.95M,9.47%
1992年1月,"3,223.40","3,152.10","3,299.19","3,139.31",26.44M,1.72%
1992年2月,"3,267.70","3,223.40","3,293.38","3,207.96",22.58M,1.37%
1992年3月,"3,235.50","3,267.70","3,299.64","3,188.28",18.98M,-0.99%
1992年4月,"3,359.10","3,235.50","3,366.50","3,161.23",22.92M,3.82%
1992年5月,"3,396.90","3,359.10","3,440.67","3,324.02",20.45M,1.13%
1992年6月,"3,318.50","3,396.90","3,422.28","3,254.05",22.45M,-2.31%
1992年7月,"3,393.80","3,318.80","3,402.96","3,266.53",21.06M,2.27%
1992年8月,"3,257.40","3,393.80","3,399.99","3,207.10",134.60K,-4.02%
1992年9月,"3,271.70","3,257.40","3,376.49","3,242.76",21.71M,0.44%
1992年10月,"3,226.30","3,271.70","3,280.85","3,095.79",24.96M,-1.39%
1992年11月,"3,305.20","3,226.30","3,308.41","3,184.67",23.77M,2.45%
1992年12月,"3,301.11","3,305.20","3,352.71","3,248.16",23.84M,-0.12%
1993年1月,"3,310.00","3,301.10","3,320.83","3,231.95",32.10M,0.27%
1993年2月,"3,370.81","3,310.00","3,456.73","3,266.80",31.55M,1.84%
1993年3月,"3,435.11","3,370.80","3,482.12","3,343.26",26.60M,1.91%
1993年4月,"3,427.55","3,435.10","3,481.58","3,363.79",31.87M,-0.22%
1993年5月,"3,527.43","3,439.44","3,565.07","3,415.33",24.52M,2.91%
1993年6月,"3,516.08","3,527.43","3,569.78","3,462.66",22.06M,-0.32%
1993年7月,"3,539.47","3,516.10","3,583.50","3,449.93",25.06M,0.67%
1993年8月,"3,651.25","3,539.50","3,663.83","3,536.96",24.83M,3.16%
1993年9月,"3,555.12","3,651.30","3,655.72","3,507.06",24.32M,-2.63%
1993年10月,"3,680.59","3,555.10","3,708.82","3,553.72",26.38M,3.53%
1993年11月,"3,683.95","3,680.60","3,717.76","3,600.67",28.57M,0.09%
1993年12月,"3,754.09","3,685.10","3,799.92","3,685.06",24.18M,1.90%
1994年1月,"3,978.36","3,754.10","3,985.96","3,742.81",30.76M,5.97%
1994年2月,"3,832.02","3,978.40","3,982.02","3,632.02",28.04M,-3.68%
1994年3月,"3,635.96","3,832.00","3,895.94","3,559.09",31.08M,-5.12%
1994年4月,"3,681.69","3,634.50","3,710.84","3,552.47",30.98M,1.26%
1994年5月,"3,758.37","3,681.70","3,772.79","3,623.10",26.34M,2.08%
1994年6月,"3,624.96","3,758.40","3,823.39","3,610.40",26.37M,-3.55%
1994年7月,"3,764.50","3,625.00","3,770.00","3,623.02",23.77M,3.85%
1994年8月,"3,913.42","3,764.50","3,939.32","3,736.33",28.81M,3.96%
