Date,Close,Open,High,Low,Volume,Change
2002年1月,"2,982.70","3,319.21","3,319.25","2,661.91",-,-10.31%
2002年2月,"3,029.49","2,987.67","3,104.37","2,944.26",-,1.57%
2002年3月,"3,173.90","3,022.35","3,393.44","2,969.81",-,4.77%
2002年4月,"3,253.46","3,161.10","3,275.91","3,082.33",-,2.51%
2002年5月,"3,037.00","3,255.02","3,267.01","3,014.67",-,-6.65%
2002年6月,"3,551.33","3,028.03","3,575.87","2,948.71",-,16.94%
2002年7月,"3,405.70","3,556.53","3,586.06","3,389.87",-,-4.10%
2002年8月,"3,436.84","3,398.93","3,499.68","3,349.29",-,0.91%
2002年9月,"3,243.93","3,438.18","3,465.07","3,236.22",-,-5.61%
2002年10月,"3,036.18","3,227.46","3,227.46","2,989.78",-,-6.40%
2002年11月,"2,920.72","3,035.84","3,189.14","2,757.71",-,-3.80%
2002年12月,"2,759.30","2,919.09","2,938.85","2,738.55",-,-5.53%
2003年1月,"3,051.22","2,743.21","3,069.13","2,673.25",-,10.58%
2003年2月,"3,057.24","3,048.81","3,082.36","2,980.86",-,0.20%
2003年3月,"3,101.86","3,058.27","3,102.09","2,954.08",-,1.46%
2003年4月,"3,260.75","3,105.28","3,525.87","3,092.63",-,5.12%
2003年5月,"3,503.69","3,264.94","3,521.13","3,191.43",-,7.45%
2003年6月,"3,224.81","3,502.68","3,514.87","3,202.91",-,-7.96%
2003年7月,"3,318.42","3,223.07","3,459.64","3,206.93",-,2.90%
2003年8月,"3,192.37","3,319.22","3,376.05","3,143.39",-,-3.80%
2003年9月,"3,054.90","3,194.26","3,272.54","3,012.16",-,-4.31%
2003年10月,"3,167.34","3,056.18","3,236.71","3,046.71",-,3.68%
2003年11月,"3,267.94","3,161.53","3,379.10","3,097.49",-,3.18%
2003年12月,"3,479.80","3,274.84","3,557.89","3,274.84",-,6.48%
2004年1月,"3,716.87","3,473.35","3,825.53","3,471.73",-,6.81%
2004年2月,"3,919.92","3,803.69","4,007.51","3,711.33",2.96B,5.46%
2004年3月,"4,060.14","3,925.77","4,097.00","3,818.42",5.82B,3.58%
2004年4月,"3,613.17","4,067.50","4,187.23","3,573.01",4.91B,-11.01%
2004年5月,"3,577.65","3,626.31","3,636.94","3,406.91",1.86B,-0.98%
2004年6月,"3,275.85","3,582.47","3,641.02","3,217.57",2.85B,-8.44%
2004年7月,"3,283.37","3,274.50","3,463.04","3,248.46",3.08B,0.23%
2004年8月,"3,175.79","3,277.38","3,360.11","3,094.59",2.31B,-3.28%
2004年9月,"3,453.91","3,176.75","3,649.88","2,996.08",4.86B,8.76%
2004年10月,"3,216.35","3,466.09","3,587.88","3,187.45",3.91B,-6.88%
2004年11月,"3,226.01","3,198.24","3,319.52","3,089.49",3.15B,0.30%
2004年12月,"3,067.57","3,227.69","3,249.92","3,062.22",2.69B,-4.91%
2005年1月,"3,045.48","3,051.24","3,150.22","2,936.37",2.50B,-0.72%
2005年2月,"3,376.32","3,045.11","3,431.83","3,042.73",4.05B,10.86%
2005年3月,"3,170.35","3,373.67","3,481.44","3,113.90",4.32B,-6.10%
2005年4月,"3,156.67","3,168.78","3,422.68","3,127.75",4.90B,-0.43%
2005年5月,"2,801.66","3,159.35","3,168.84","2,756.21",2.57B,-11.25%
2005年6月,"2,760.23","2,801.12","2,989.12","2,590.53",6.59B,-1.48%
2005年7月,"2,887.57","2,749.93","2,929.16","2,636.26",4.53B,4.61%
2005年8月,"2,950.43","2,886.74","3,147.57","2,869.94",7.91B,2.18%
2005年9月,"2,903.11","2,957.54","3,075.08","2,841.20",5.21B,-1.60%
2005年10月,"2,662.29","2,902.21","2,902.75","2,610.00",3.05B,-8.30%
2005年11月,"2,676.85","2,667.55","2,752.14","2,593.33",3.71B,0.55%
2005年12月,"2,863.61","2,675.23","2,898.16","2,634.68",5.23B,6.98%
2006年1月,"3,242.35","2,873.53","3,242.81","2,873.53",6.74B,13.23%
2006年2月,"3,351.64","3,194.58","3,401.44","3,193.75",7.33B,3.37%
2006年3月,"3,516.40","3,355.57","3,577.35","3,160.47",8.12B,4.92%
2006年4月,"3,848.10","3,524.16","3,875.34","3,524.16",13.99B,9.43%
2006年5月,"4,292.10","3,872.80","4,463.08","3,872.80",17.98B,11.54%
2006年6月,"4,301.66","4,272.35","4,361.00","3,904.32",12.19B,0.22%
2006年7月,"3,946.90","4,302.20","4,403.93","3,936.75",9.35B,-8.25%
2006年8月,"4,178.84","3,941.49","4,216.20","3,766.83",5.95B,5.88%
2006年9月,"4,326.78","4,183.54","4,344.62","4,067.19",6.42B,3.54%
2006年10月,"4,621.98","4,366.27","4,633.67","4,315.97",7.60B,6.82%
2006年11月,"5,667.00","4,630.36","5,667.00","4,582.84",14.26B,22.61%
2006年12月,"6,647.14","5,692.47","6,687.28","5,629.37",16.47B,17.30%
2007年1月,"7,632.94","6,730.12","8,463.82","6,585.06",21.49B,14.83%
2007年2月,"8,039.70","7,513.44","8,740.91","6,985.78",12.45B,5.33%
2007年3月,"8,549.20","8,075.35","8,681.21","7,582.63",19.28B,6.34%
2007年4月,"10,865.88","8,575.77","10,893.23","8,571.54",25.70B,27.10%
2007年5月,"12,944.23","11,100.60","13,458.34","11,025.06",24.05B,19.13%
2007年6月,"12,546.45","12,954.77","14,576.00","10,652.19",23.14B,-3.07%
2007年7月,"15,199.56","12,492.71","15,257.54","11,654.46",14.57B,21.15%
2007年8月,"17,872.11","15,259.35","18,128.68","14,603.56",20.40B,17.58%
2007年9月,"18,864.55","17,988.34","18,939.90","16,944.11",13.99B,5.55%
2007年10月,"19,531.15","19,287.61","19,600.03","17,933.30",10.58B,3.53%
2007年11月,"15,637.66","19,554.58","19,559.42","15,189.42",9.54B,-19.93%
2007年12月,"17,700.62","15,580.24","17,856.94","15,477.47",10.58B,13.19%
2008年1月,"15,857.71","17,731.84","19,219.89","15,793.28",15.03B,-10.41%
2008年2月,"15,823.88","15,837.88","17,476.85","14,907.27",6.22B,-0.21%
2008年3月,"13,302.14","15,722.32","16,350.09","12,281.10",9.48B,-15.94%
2008年4月,"13,504.89","13,274.74","13,785.80","10,586.36",11.87B,1.52%
2008年5月,"12,048.24","13,673.59","13,881.17","11,810.61",10.55B,-10.79%
