Date,Close,Open,High,Low,Volume,Change
1983年3月,270.80,270.80,272.24,260.62,-,3.89%
1983年4月,293.06,293.06,293.06,266.21,-,8.22%
1983年5月,308.73,308.73,312.18,288.56,-,5.35%
1983年6月,318.70,318.70,329.11,307.10,-,3.23%
1983年7月,303.96,303.96,321.58,303.09,-,-4.63%
1983年8月,292.42,292.42,304.34,288.42,-,-3.80%
1983年9月,296.65,296.65,305.06,292.91,-,1.45%
1983年10月,274.55,274.55,297.81,274.16,-,-7.45%
1983年11月,285.67,285.67,289.60,269.42,-,4.05%
1983年12月,278.60,278.60,286.12,274.36,-,-2.47%
1984年1月,268.43,268.43,288.41,267.75,-,-3.65%
1984年2月,252.57,252.57,268.79,246.03,-,-5.91%
1984年3月,250.78,250.78,255.67,248.49,-,-0.71%
1984年4月,247.44,247.44,251.28,240.70,-,-1.33%
1984年5月,232.82,232.82,253.45,230.22,-,-5.91%
1984年6月,239.65,239.65,241.52,232.80,-,2.93%
1984年7月,229.70,229.70,239.77,225.29,-,-4.15%
1984年8月,254.64,254.64,255.29,229.62,-,10.86%
1984年9月,249.94,249.94,255.87,249.36,-,-1.85%
1984年10月,247.03,247.03,252.59,242.20,-,-1.16%
1984年11月,242.53,242.53,250.96,242.19,-,-1.82%
1984年12月,247.35,247.35,247.41,237.58,-,1.99%
1985年1月,278.70,278.70,278.95,245.70,-,12.67%
1985年2月,284.17,284.17,288.87,277.69,-,1.96%
1985年3月,279.20,279.20,287.96,275.61,-,-1.75%
1985年4月,280.56,280.56,284.79,276.21,-,0.49%
1985年5月,290.80,290.80,294.80,278.76,-,3.65%
1985年6月,296.20,296.20,296.20,286.69,-,1.86%
1985年7月,301.29,301.29,307.94,295.54,-,1.72%
1985年8月,297.71,297.71,304.58,295.52,-,-1.19%
1985年9月,280.33,280.33,297.73,279.48,-,-5.84%
1985年10月,292.54,292.54,292.78,276.61,-,4.36%
1985年11月,313.95,313.95,314.05,292.50,-,7.32%
1985年12月,324.93,324.93,325.61,312.30,-,3.50%
1986年1月,335.77,335.77,335.82,322.06,-,3.34%
1986年2月,359.53,359.53,360.00,335.77,-,7.08%
1986年3月,374.72,374.72,374.74,359.07,-,4.22%
1986年4月,383.24,383.24,392.95,368.00,-,2.27%
1986年5月,400.16,400.16,400.39,381.45,-,4.41%
1986年6月,405.51,405.51,405.51,391.75,-,1.34%
1986年7月,371.37,371.37,411.33,369.11,-,-8.42%
1986年8月,382.86,382.86,383.22,364.36,-,3.09%
1986年9月,350.67,350.67,383.99,342.28,-,-8.41%
1986年10月,360.77,360.77,361.60,351.22,-,2.88%
1986年11月,359.57,359.57,362.48,349.09,-,-0.33%
1986年12月,348.83,348.83,364.65,347.00,-,-2.99%
1987年1月,392.06,392.06,402.33,348.81,-,12.39%
1987年2月,424.97,424.97,424.97,392.04,-,8.39%
1987年3月,430.05,430.05,439.99,422.92,-,1.20%
1987年4月,417.81,417.81,439.16,407.35,-,-2.85%
1987年5月,416.54,416.54,424.83,404.52,-,-0.30%
1987年6月,424.67,424.67,429.89,413.53,-,1.95%
1987年7月,434.93,434.93,434.94,423.73,-,2.42%
1987年8月,454.97,454.97,455.78,431.17,-,4.61%
1987年9月,444.29,444.29,456.27,433.86,-,-2.35%
1987年10月,323.30,323.30,453.88,288.49,-,-27.23%
1987年11月,305.16,305.16,328.82,301.62,-,-5.61%
1987年12月,330.47,330.47,333.23,291.86,-,8.29%
1988年1月,344.66,344.66,350.30,329.00,-,4.29%
1988年2月,366.95,366.95,366.99,343.48,-,6.47%
1988年3月,374.64,374.64,382.61,366.68,-,2.10%
1988年4月,379.23,379.23,384.26,369.82,-,1.23%
1988年5月,370.34,370.34,383.06,362.37,-,-2.34%
1988年6月,394.66,394.66,394.77,370.33,-,6.57%
1988年7月,387.33,387.33,397.54,382.13,-,-1.86%
1988年8月,376.55,376.55,389.50,372.20,-,-2.78%
1988年9月,387.71,387.71,388.37,372.15,-,2.96%
1988年10月,382.46,382.46,388.93,380.66,-,-1.35%
1988年11月,371.45,371.45,383.07,364.03,-,-2.88%
1988年12月,381.38,381.38,381.38,371.16,-,2.67%
