Date,Close,Open,High,Low,Volume,Change
2006年9月,"3,588.40","3,414.00","3,603.70","3,328.45",1.40B,5.11%
2006年10月,"3,744.10","3,588.95","3,782.85","3,508.65",1.41B,4.34%
2006年11月,"3,954.50","3,744.10","3,976.80","3,737.00",1.52B,5.62%
2006年12月,"3,966.40","3,955.70","4,046.85","3,657.65",1.35B,0.30%
2007年1月,"4,082.70","3,966.25","4,167.15","3,833.60",1.52B,2.93%
2007年2月,"3,745.30","4,083.40","4,245.30","3,674.85",1.55B,-8.26%
2007年3月,"3,821.55","3,745.40","3,901.75","3,554.50",1.79B,2.04%
2007年4月,"4,087.90","3,820.00","4,217.90","3,617.00",1.64B,6.97%
2007年5月,"4,295.80","4,089.45","4,306.75","3,981.15",1.72B,5.09%
2007年6月,"4,318.30","4,296.05","4,362.95","4,100.80",1.58B,0.52%
2007年7月,"4,528.85","4,318.40","4,647.95","4,304.00",1.92B,4.88%
2007年8月,"4,464.00","4,528.85","4,532.90","4,002.20",1.73B,-1.43%
2007年9月,"5,021.35","4,466.65","5,055.80","4,445.55",1.88B,12.49%
2007年10月,"5,900.65","5,021.50","5,976.00","5,000.95",3.50B,17.51%
2007年11月,"5,762.75","5,903.80","6,011.95","5,394.35",3.53B,-2.34%
2007年12月,"6,138.60","5,765.45","6,185.40","5,676.70",2.06B,6.52%
2008年1月,"5,137.45","6,136.75","6,357.10","4,448.50",3.14B,-16.31%
2008年2月,"5,223.50","5,140.60","5,545.20","4,803.60",2.12B,1.67%
2008年3月,"4,734.50","5,222.80","5,222.80","4,468.55",2.64B,-9.36%
2008年4月,"5,165.90","4,735.65","5,230.75","4,628.75",2.68B,9.11%
2008年5月,"4,870.10","5,265.30","5,298.85","4,801.90",2.88B,-5.73%
2008年6月,"4,040.55","4,869.25","4,908.80","4,021.70",3.04B,-17.03%
2008年7月,"4,332.95","4,039.75","4,539.45","3,790.20",3.62B,7.24%
2008年8月,"4,360.00","4,331.60","4,649.85","4,201.85",2.36B,0.62%
2008年9月,"3,921.20","4,356.10","4,558.00","3,715.05",3.09B,-10.06%
2008年10月,"2,885.60","3,921.85","4,000.50","2,252.75",4.87B,-26.41%
2008年11月,"2,755.10","2,885.40","3,240.55","2,502.90",4.55B,-4.52%
2008年12月,"2,959.15","2,755.15","3,110.45","2,570.70",6.35B,7.41%
2009年1月,"2,874.80","2,963.30","3,147.20","2,661.65",6.11B,-2.85%
2009年2月,"2,763.65","2,872.35","2,969.75","2,677.55",3.95B,-3.87%
2009年3月,"3,020.95","2,764.60","3,123.35","2,539.45",5.34B,9.31%
2009年4月,"3,473.95","3,023.85","3,517.25","2,965.70",6.43B,15.00%
2009年5月,"4,448.95","3,478.70","4,509.40","3,478.70",7.14B,28.07%
2009年6月,"4,291.10","4,450.40","4,693.20","4,143.25",7.98B,-3.55%
2009年7月,"4,636.45","4,292.30","4,669.75","3,918.75",7.01B,8.05%
2009年8月,"4,662.10","4,633.80","4,743.75","4,353.45",5.34B,0.55%
2009年9月,"5,083.95","4,662.20","5,087.60","4,576.60",4.68B,9.05%
2009年10月,"4,711.70","5,087.20","5,181.95","4,687.50",4.89B,-7.32%
2009年11月,"5,032.70","4,712.25","5,138.00","4,538.50",5.19B,6.81%
2009年12月,"5,201.05","5,039.70","5,221.85","4,943.95",4.39B,3.35%
2010年1月,"4,882.05","5,200.90","5,310.85","4,766.00",3.88B,-6.13%
2010年2月,"4,922.30","4,882.05","4,992.00","4,675.40",3.56B,0.82%
2010年3月,"5,249.10","4,935.60","5,329.55","4,935.35",3.42B,6.64%
2010年4月,"5,278.00","5,249.20","5,399.65","5,160.90",3.15B,0.55%
2010年5月,"5,086.30","5,278.40","5,278.70","4,786.45",3.92B,-3.63%
2010年6月,"5,312.50","5,086.25","5,366.75","4,961.05",4.04B,4.45%
2010年7月,"5,367.60","5,312.05","5,477.50","5,225.60",3.34B,1.04%
2010年8月,"5,402.40","5,369.55","5,549.80","5,348.90",3.21B,0.65%
2010年9月,"6,029.95","5,403.05","6,073.50","5,403.05",3.61B,11.62%
2010年10月,"6,017.70","6,030.30","6,284.10","5,937.10",2.91B,-0.20%
2010年11月,"5,862.70","6,092.30","6,338.50","5,690.35",3.30B,-2.58%
2010年12月,"6,134.50","5,871.00","6,147.30","5,721.15",2.99B,4.64%
2011年1月,"5,505.90","6,177.45","6,181.05","5,416.65",3.07B,-10.25%
2011年2月,"5,333.25","5,537.30","5,599.25","5,177.70",3.73B,-3.14%
2011年3月,"5,833.75","5,382.00","5,872.00","5,348.20",3.22B,9.38%
2011年4月,"5,749.50","5,835.00","5,944.45","5,693.25",2.16B,-1.44%
2011年5月,"5,560.15","5,766.90","5,775.25","5,328.70",2.39B,-3.29%
2011年6月,"5,647.40","5,561.05","5,657.90","5,195.90",2.36B,1.57%
2011年7月,"5,482.00","5,705.75","5,740.40","5,453.95",2.32B,-2.93%
2011年8月,"5,001.00","5,527.50","5,551.90","4,720.00",3.10B,-8.77%
2011年9月,"4,943.25","5,109.80","5,169.25","4,758.85",3.49B,-1.15%
2011年10月,"5,326.60","4,874.40","5,399.70","4,728.30",2.96B,7.76%
2011年11月,"4,832.05","5,278.60","5,326.45","4,639.10",3.30B,-9.28%
2011年12月,"4,624.30","4,970.85","5,099.25","4,531.15",3.43B,-4.30%
2012年1月,"5,199.25","4,640.20","5,217.00","4,588.05",4.15B,12.43%
2012年2月,"5,385.20","5,198.15","5,629.95","5,159.00",5.04B,3.58%
2012年3月,"5,295.55","5,366.00","5,499.40","5,135.95",4.16B,-1.66%
2012年4月,"5,248.15","5,296.35","5,378.75","5,154.30",2.74B,-0.90%
2012年5月,"4,924.25","5,254.30","5,279.60","4,788.95",3.23B,-6.17%
2012年6月,"5,278.90","4,910.85","5,286.25","4,770.35",3.04B,7.20%
2012年7月,"5,229.00","5,283.85","5,348.55","5,032.40",2.67B,-0.95%
2012年8月,"5,258.50","5,220.70","5,448.60","5,164.65",2.75B,0.56%
2012年9月,"5,703.30","5,276.50","5,735.15","5,215.70",3.36B,8.46%
2012年10月,"5,619.70","5,704.75","5,815.35","4,888.20",2.77B,-1.47%
2012年11月,"5,879.85","5,609.85","5,885.25","5,548.35",2.30B,4.63%
2012年12月,"5,905.10","5,878.25","5,965.15","5,823.15",2.41B,0.43%
2013年1月,"6,034.75","5,937.65","6,111.80","5,935.20",3.08B,2.20%
2013年2月,"5,693.05","6,040.95","6,052.95","5,671.90",3.08B,-5.66%
2013年3月,"5,682.55","5,702.45","5,971.20","5,604.85",2.88B,-0.18%
2013年4月,"5,930.20","5,697.35","5,962.30","5,477.20",2.73B,4.36%
2013年5月,"5,985.95","5,911.40","6,229.45","5,910.95",3.08B,0.94%
2013年6月,"5,842.20","5,997.35","6,011.00","5,566.25",2.98B,-2.40%
2013年7月,"5,742.00","5,834.10","6,093.35","5,675.75",3.52B,-1.72%
2013年8月,"5,471.80","5,776.90","5,808.50","5,118.85",5.01B,-4.71%
2013年9月,"5,735.30","5,480.25","6,142.50","5,318.90",4.49B,4.82%
2013年10月,"6,299.15","5,756.10","6,309.05","5,700.95",3.84B,9.83%
2013年11月,"6,176.10","6,289.75","6,342.95","5,972.45",3.02B,-1.95%
2013年12月,"6,304.00","6,171.15","6,415.25","6,129.95",3.62B,2.07%
2014年1月,"6,089.50","6,323.80","6,358.30","6,027.25",3.35B,-3.40%
2014年2月,"6,276.95","6,058.80","6,282.70","5,933.30",2.80B,3.08%
2014年3月,"6,704.20","6,264.35","6,730.05","6,212.25",3.86B,6.81%
2014年4月,"6,696.40","6,729.50","6,869.85","6,650.40",2.67B,-0.12%
2014年5月,"7,229.95","6,709.95","7,563.50","6,638.55",4.28B,7.97%
2014年6月,"7,611.35","7,264.05","7,700.05","7,239.50",3.62B,5.28%
2014年7月,"7,721.30","7,629.00","7,840.95","7,422.15",3.32B,1.44%
2014年8月,"7,954.35","7,662.50","7,968.25","7,540.10",2.48B,3.02%
2014年9月,"7,964.80","7,990.35","8,180.20","7,841.80",2.93B,0.13%
2014年10月,"8,322.20","7,960.50","8,330.75","7,723.85",2.70B,4.49%
2014年11月,"8,588.25","8,348.15","8,617.00","8,290.25",2.70B,3.20%
2014年12月,"8,282.70","8,605.10","8,626.95","7,961.35",3.15B,-3.56%
2015年1月,"8,808.90","8,272.80","8,996.60","8,065.45",3.49B,6.35%
2015年2月,"8,901.85","8,802.50","8,941.10","8,470.50",3.78B,1.06%
2015年3月,"8,491.00","8,953.85","9,119.20","8,269.15",3.84B,-4.62%
2015年4月,"8,181.50","8,483.70","8,844.80","8,144.75",3.37B,-3.65%
2015年5月,"8,433.65","8,230.05","8,489.55","7,997.15",3.49B,3.08%
2015年6月,"8,368.50","8,417.25","8,467.15","7,940.30",3.25B,-0.77%
2015年7月,"8,532.85","8,376.25","8,654.75","8,315.40",3.19B,1.96%
2015年8月,"7,971.30","8,510.65","8,621.55","7,667.25",4.06B,-6.58%
2015年9月,"7,948.90","7,907.95","8,055.00","7,539.50",3.54B,-0.28%
2015年10月,"8,065.80","7,992.05","8,336.30","7,930.65",3.47B,1.47%
