Date,Close,Open,High,Low,Volume,Change
2006年12月,"1,418.30","1,400.63","1,431.81","1,385.93",-,1.26%
2007年1月,"1,438.24","1,418.03","1,441.61","1,403.97",-,1.41%
2007年2月,"1,406.82","1,437.90","1,461.57","1,389.42",-,-2.18%
2007年3月,"1,420.86","1,406.80","1,438.89","1,363.98",-,1.00%
2007年4月,"1,482.37","1,420.83","1,498.02","1,416.37",-,4.33%
2007年5月,"1,530.62","1,482.37","1,535.56","1,476.70",-,3.25%
2007年6月,"1,503.35","1,530.62","1,540.56","1,484.18",-,-1.78%
2007年7月,"1,455.27","1,504.66","1,555.90","1,454.25",-,-3.20%
2007年8月,"1,473.99","1,455.18","1,503.89","1,370.60",-,1.29%
2007年9月,"1,526.75","1,473.96","1,538.74","1,439.29",-,3.58%
2007年10月,"1,549.38","1,527.29","1,576.09","1,489.56",-,1.48%
2007年11月,"1,481.14","1,545.79","1,545.79","1,406.10",-,-4.40%
2007年12月,"1,468.36","1,479.63","1,523.57","1,435.65",-,-0.86%
2008年1月,"1,378.55","1,467.97","1,471.77","1,270.05",-,-6.12%
2008年2月,"1,330.63","1,378.60","1,396.02","1,316.75",-,-3.48%
2008年3月,"1,322.70","1,330.45","1,359.68","1,256.98",-,-0.60%
2008年4月,"1,385.59","1,326.41","1,404.57","1,324.35",-,4.75%
2008年5月,"1,400.38","1,385.97","1,440.24","1,373.07",-,1.07%
2008年6月,"1,280.00","1,399.62","1,404.05","1,272.00",-,-8.60%
2008年7月,"1,267.38","1,276.69","1,292.17","1,200.44",-,-0.99%
2008年8月,"1,282.83","1,269.42","1,313.15","1,247.45",-,1.22%
2008年9月,"1,166.36","1,287.83","1,303.04","1,106.39",-,-9.08%
2008年10月,968.75,"1,164.17","1,167.03",839.80,-,-16.94%
2008年11月,896.24,968.67,"1,007.51",741.02,-,-7.48%
2008年12月,903.25,888.61,918.85,815.69,-,0.78%
2009年1月,825.88,902.99,943.85,804.30,-,-8.57%
2009年2月,735.09,823.09,875.01,734.52,-,-10.99%
2009年3月,797.87,729.57,832.98,666.79,-,8.54%
2009年4月,872.81,793.59,888.70,783.32,-,9.39%
2009年5月,919.14,872.74,930.17,866.10,-,5.31%
2009年6月,919.32,923.26,956.23,888.86,-,0.02%
2009年7月,987.48,920.82,996.68,869.32,-,7.41%
2009年8月,"1,020.62",990.22,"1,039.47",978.51,-,3.36%
2009年9月,"1,057.08","1,019.52","1,080.15",991.97,-,3.57%
2009年10月,"1,036.19","1,054.91","1,101.36","1,019.95",-,-1.98%
2009年11月,"1,095.63","1,036.18","1,113.69","1,029.38",-,5.74%
2009年12月,"1,115.10","1,098.89","1,130.38","1,085.89",-,1.78%
2010年1月,"1,073.87","1,116.56","1,150.45","1,071.59",-,-3.70%
2010年2月,"1,104.49","1,073.89","1,112.42","1,044.50",-,2.85%
2010年3月,"1,169.43","1,105.36","1,180.69","1,105.36",-,5.88%
2010年4月,"1,186.69","1,171.23","1,219.80","1,170.69",-,1.48%
2010年5月,"1,089.41","1,188.58","1,205.13","1,040.78",-,-8.20%
2010年6月,"1,030.71","1,087.30","1,131.23","1,028.33",-,-5.39%
2010年7月,"1,101.60","1,031.10","1,120.95","1,010.91",-,6.88%
2010年8月,"1,049.33","1,107.53","1,129.24","1,039.70",-,-4.74%
2010年9月,"1,141.20","1,049.72","1,157.16","1,049.72",-,8.76%
2010年10月,"1,183.26","1,143.49","1,196.14","1,131.87",-,3.69%
2010年11月,"1,180.55","1,185.71","1,227.08","1,173.00",-,-0.23%
2010年12月,"1,257.64","1,186.60","1,262.60","1,186.60",-,6.53%
2011年1月,"1,286.12","1,257.62","1,302.67","1,257.62",-,2.26%
2011年2月,"1,340.43","1,334.37","1,341.50","1,331.00",-,4.22%
2011年3月,"1,325.83","1,328.64","1,332.28","1,249.05",-,-1.09%
2011年4月,"1,363.61","1,329.48","1,364.56","1,294.70",-,2.85%
2011年5月,"1,345.20","1,365.21","1,370.58","1,311.80",-,-1.35%
2011年6月,"1,320.64","1,345.20","1,345.20","1,258.07",-,-1.83%
2011年7月,"1,292.28","1,320.64","1,356.48","1,282.86",-,-2.15%
2011年8月,"1,218.89","1,292.59","1,307.38","1,101.54",-,-5.68%
2011年9月,"1,131.42","1,219.12","1,229.29","1,114.22",-,-7.18%
2011年10月,"1,253.30","1,131.21","1,292.66","1,074.77",-,10.77%
2011年11月,"1,246.96","1,251.00","1,277.55","1,158.66",-,-0.51%
2011年12月,"1,257.60","1,246.91","1,269.37","1,202.37",-,0.85%
2012年1月,"1,312.41","1,258.86","1,333.47","1,258.86",-,4.36%
2012年2月,"1,365.68","1,312.45","1,378.04","1,312.45",-,4.06%
2012年3月,"1,408.47","1,365.90","1,419.15","1,340.03",-,3.13%
2012年4月,"1,397.91","1,408.47","1,422.38","1,357.38",-,-0.75%
2012年5月,"1,310.33","1,397.86","1,415.32","1,291.98",-,-6.27%
2012年6月,"1,362.16","1,309.87","1,363.46","1,266.74",-,3.96%
2012年7月,"1,379.32","1,362.33","1,391.74","1,325.41",-,1.26%
2012年8月,"1,406.58","1,379.32","1,426.68","1,354.65",-,1.98%
2012年9月,"1,440.67","1,406.54","1,474.51","1,396.56",-,2.42%
2012年10月,"1,412.16","1,440.90","1,470.96","1,403.28",-,-1.98%
2012年11月,"1,416.18","1,412.20","1,434.27","1,343.35",-,0.28%
2012年12月,"1,426.19","1,416.34","1,448.00","1,398.11",-,0.71%
2013年1月,"1,498.11","1,426.19","1,509.94","1,426.19",-,5.04%
2013年2月,"1,514.68","1,498.11","1,530.94","1,485.01",-,1.11%
2013年3月,"1,569.19","1,514.68","1,570.28","1,501.48",-,3.60%
2013年4月,"1,597.57","1,569.18","1,597.57","1,536.03",-,1.81%
2013年5月,"1,630.74","1,597.55","1,687.18","1,581.28",-,2.08%
2013年6月,"1,606.28","1,631.71","1,654.19","1,560.33",-,-1.50%
2013年7月,"1,685.73","1,609.78","1,698.78","1,604.57",-,4.95%
2013年8月,"1,632.97","1,689.42","1,709.67","1,627.47",-,-3.13%
2013年9月,"1,681.55","1,635.95","1,729.86","1,633.41",-,2.97%
2013年10月,"1,756.54","1,682.41","1,775.22","1,646.47",-,4.46%
2013年11月,"1,805.81","1,758.70","1,813.55","1,746.20",-,2.80%
2013年12月,"1,848.36","1,806.55","1,849.44","1,767.99",-,2.36%
2014年1月,"1,782.59","1,845.86","1,850.84","1,770.45",-,-3.56%
2014年2月,"1,859.45","1,782.68","1,867.92","1,737.92",-,4.31%
2014年3月,"1,872.34","1,857.68","1,883.97","1,834.44",-,0.69%
2014年4月,"1,883.95","1,873.96","1,897.28","1,814.36",-,0.62%
2014年5月,"1,923.57","1,884.39","1,924.03","1,859.79",-,2.10%
2014年6月,"1,960.23","1,923.87","1,968.17","1,915.98",-,1.91%
2014年7月,"1,930.67","1,962.29","1,991.39","1,930.67",-,-1.51%
2014年8月,"2,003.37","1,929.80","2,005.04","1,904.78",-,3.77%
2014年9月,"1,972.29","2,004.07","2,019.26","1,964.04",-,-1.55%
2014年10月,"2,018.05","1,971.44","2,018.19","1,820.66",-,2.32%
2014年11月,"2,067.56","2,018.21","2,075.76","2,001.01",-,2.45%
2014年12月,"2,058.90","2,065.78","2,093.55","1,972.56",-,-0.42%
2015年1月,"1,994.99","2,058.90","2,072.36","1,988.12",-,-3.10%
2015年2月,"2,104.50","1,996.67","2,119.59","1,980.90",-,5.49%
2015年3月,"2,067.89","2,105.23","2,117.52","2,039.69",-,-1.74%
2015年4月,"2,085.51","2,067.63","2,125.92","2,048.38",-,0.85%
2015年5月,"2,107.39","2,087.38","2,134.72","2,067.93",-,1.05%
2015年6月,"2,063.11","2,108.64","2,129.87","2,056.32",-,-2.10%
2015年7月,"2,103.84","2,067.00","2,132.82","2,044.02",-,1.97%
2015年8月,"1,972.18","2,104.49","2,112.66","1,867.01",-,-6.26%
2015年9月,"1,920.03","1,970.09","2,020.86","1,871.91",-,-2.64%
2015年10月,"2,079.36","1,919.65","2,094.32","1,893.70",-,8.30%
2015年11月,"2,080.41","2,080.76","2,116.48","2,019.39",-,0.05%
2015年12月,"2,043.94","2,082.93","2,104.27","1,993.26",-,-1.75%
2016年1月,"1,940.24","2,038.20","2,038.20","1,812.29",-,-5.07%
2016年2月,"1,932.23","1,936.94","1,962.96","1,810.10",-,-0.41%
2016年3月,"2,059.74","1,937.09","2,072.21","1,937.09",-,6.60%
2016年4月,"2,065.30","2,056.62","2,111.05","2,033.80",-,0.27%
2016年5月,"2,096.96","2,067.17","2,103.48","2,025.91",-,1.53%
2016年6月,"2,098.86","2,093.94","2,120.55","1,991.68",-,0.09%
2016年7月,"2,173.60","2,099.34","2,177.09","2,074.02",-,3.56%
2016年8月,"2,170.95","2,173.15","2,193.81","2,147.58",-,-0.12%
2016年9月,"2,168.27","2,171.33","2,187.87","2,119.12",-,-0.12%
2016年10月,"2,126.15","2,164.33","2,169.60","2,114.72",-,-1.94%
2016年11月,"2,198.81","2,128.68","2,214.10","2,083.79",-,3.42%
2016年12月,"2,238.83","2,200.17","2,277.53","2,187.44",-,1.82%
2017年1月,"2,278.87","2,251.57","2,300.99","2,245.13",-,1.79%
2017年2月,"2,363.64","2,285.59","2,371.54","2,271.65",-,3.72%
2017年3月,"2,362.72","2,380.13","2,400.98","2,322.25",-,-0.04%
2017年4月,"2,384.20","2,362.34","2,398.16","2,328.95",-,0.91%
2017年5月,"2,411.80","2,388.50","2,418.71","2,352.72",-,1.16%
2017年6月,"2,423.41","2,415.65","2,453.82","2,405.70",-,0.48%
2017年7月,"2,470.30","2,431.39","2,484.04","2,407.70",-,1.93%
2017年8月,"2,471.65","2,477.10","2,490.87","2,417.35",-,0.05%
